Categoría,Item,Descripción,Cantidad,Unidad,Costo Unitario (EUR),Costo Total (EUR),Tiempo Estimado (horas),Costo Mano de Obra (EUR),Costo Mensual AWS (EUR),Costo Mensual Mano de Obra (EUR),Observaciones
SETUP INICIAL AWS,Cuenta AWS Admin,Configuración de cuenta administradora AWS,1,cuenta,"0,00",0,2,240,0,0,Configuración inicial de cuenta root
SETUP INICIAL AWS,SSO Admin,Configuración de AWS SSO para administradores,1,configuración,"0,00",0,4,480,0,0,Configuración de Identity Center y políticas
SETUP INICIAL AWS,IAM Roles,Creación de roles y políticas para servicios,1,conjunto,"0,00",0,3,360,0,0,Roles para ECS
SETUP INICIAL AWS,Organización AWS,Configuración de organización multi-cuenta,1,configuración,"0,00",0,2,240,0,0,Setup de estructura organizacional
INFRAESTRUCTURA COMPUTE,"EC2 t2,large",Instancia para Airflow Docker Compose (t2.large),1,instancia,"65,00",65,0,0,"35,04",0,Costo mensual fijo (24/7)
INFRAESTRUCTURA COMPUTE,EC2 Storage,50GB EBS GP3 para Airflow,1,50GB,"5,00",5,0,0,"10,5",0,Costo mensual fijo
INFRAESTRUCTURA COMPUTE,EC2 Backup,Snapshots automáticos EBS,1,configuración,"5,25","5,25",0,0,"5,25",0,Costo mensual fijo
INFRAESTRUCTURA COMPUTE,EC2 Data Transfer,Transferencia de datos saliente,1,configuración,"2,00",2,0,0,2,0,Costo mensual bajo volumen
INFRAESTRUCTURA COMPUTE,EC2 Monitoring,CloudWatch y métricas,1,configuración,"2,00",2,0,0,2,0,Costo mensual bajo volumen
ALMACENAMIENTO S3,Landing Bucket,empresa-datalake-landing-prod (100GB),1,100GB,"2,30","2,3",0,0,"2,3",0,Costo mensual bajo volumen inicial
ALMACENAMIENTO S3,Raw Bucket,empresa-datalake-raw-prod (100GB),1,100GB,"2,30","2,3",0,0,"4,6",0,Costo mensual bajo volumen inicial
ALMACENAMIENTO S3,Master Bucket,empresa-datalake-master-prod (100GB),1,100GB,"2,30","2,3",0,0,"11,5",0,Costo mensual bajo volumen inicial
ALMACENAMIENTO S3,Airflow Bucket,empresa-datalake-airflow-prod (100GB),1,100GB,"2,30","2,3",0,0,"1,15",0,Costo mensual bajo volumen inicial
ALMACENAMIENTO S3,Athena Bucket,empresa-datalake-athena-prod (100GB),1,100GB,"2,30","2,3",0,0,"2,3",0,Costo mensual bajo volumen inicial
ALMACENAMIENTO S3,S3 Lifecycle,Políticas de retención y archivo,1,configuración,"1,00",1,0,0,1,0,Costo mensual bajo volumen
ALMACENAMIENTO S3,S3 Analytics,Análisis de uso y costos,1,configuración,"0,50","0,5",0,0,"0,5",0,Costo mensual bajo volumen
CONTENEDORES,ECR Python,Repositorio para imágenes Python,1,repositorio,"0,10","0,1",0,0,"0,1",0,Costo mensual por imagen
CONTENEDORES,ECR Spark,Repositorio para imágenes Spark,1,repositorio,"0,10","0,1",0,0,"0,1",0,Costo mensual por imagen
CONTENEDORES,ECS Fargate Python,Cluster para ejecución de scripts Python,1,cluster,"0,00",0,0,0,0,0,Solo pago por uso
CONTENEDORES,ECS Fargate Spark,Cluster para ejecución de scripts Spark,1,cluster,"0,00",0,0,0,0,0,Solo pago por uso
CONTENEDORES,ECS Tasks Python,Ejecución de tareas Python (estimado 100/month),100,tareas,"0,10",10,0,0,"0,04",0,Costo por tarea ejecutada - bajo volumen
CONTENEDORES,ECS Tasks Spark,Ejecución de tareas Spark (estimado 20/month),20,tareas,"0,44","8,8",0,0,"0,08",0,Costo por tarea ejecutada - bajo volumen
ORQUESTACIÓN,Airflow Installation,Instalación y configuración Docker Compose,1,instalación,"0,00",0,8,960,0,0,Setup completo en EC2
ORQUESTACIÓN,Airflow DAGs,Desarrollo de DAGs para ETL,1,conjunto,"0,00",0,16,1920,0,0,Desarrollo de workflows
ORQUESTACIÓN,Airflow Monitoring,Configuración de alertas y logs,1,configuración,"0,00",0,4,480,0,0,Setup de monitoreo
CATALOGADO Y CONSULTAS,Glue Data Catalog,Metadatos y catálogo de datos,1,servicio,"0,00",0,0,0,0,0,Gratuito hasta 1M objetos
CATALOGADO Y CONSULTAS,Glue Crawlers,Crawlers para catalogar datos,2,crawlers,"0,44","0,88",0,0,"0,88",0,Costo mensual por crawler
CATALOGADO Y CONSULTAS,Athena Queries,Consultas SQL (estimado 100/month),100,consultas,"0,50",50,0,0,"0,5",0,Costo por consulta - bajo volumen
CATALOGADO Y CONSULTAS,Athena Data Scanned,Escaneo de datos (estimado 50GB/month),50,GB,"0,004882","0,2441",0,0,250,0,Costo por GB escaneado - bajo volumen
VISUALIZACIÓN,QuickSight,Licencias de usuario (2 usuarios),2,usuarios,"9,00",18,0,0,45,0,Costo mensual por usuario - 5 dashboards
VISUALIZACIÓN,QuickSight SPICE,Almacenamiento de datos para dashboards,1,configuración,"0,25","0,25",0,0,"1,25",0,Costo mensual por GB - estimado 5GB para 5 dashboards
